id,brand,gym_name,street_address,postal_code,city,region,country,homepage,instagram,latitude,longitude,bouldering,lead,top_rope,moonboard,kilterboard,spraywall,continent,grading_type,last_verified,status,status_date,successor_id
it-cat-torino,Centro Arrampicata Torino,Centro Arrampicata Torino (C.A.T.),Via Paolo Braccini 18,10141,Torino,Piedmont,Italy,https://centroarrampicatatorino.org,@centroarrampicata,45.0597554,7.6543144,true,true,true,,,,Europe,,2026-06-14,,,
it-boulderfactory-genova,Boulder Factory,Boulder Factory,Via Pasquale Pastorino 38,16162,Genova,Liguria,Italy,https://www.boulderfactory.it,@boulderfactory,44.4615053,8.9012042,true,false,false,,,,Europe,,2026-06-14,,,
it-kingrock-verona,King Rock,King Rock,Via Ca' di Mazzè 21,37135,Verona,Veneto,Italy,https://www.kingrock.it,@kingrockclimbing,45.4055898,11.0222811,true,true,true,,,,Europe,,2026-06-14,,,
it-climbinghangar-frascati,Climbing Hangar Frascati,Climbing Hangar Frascati,Via Tuscolana km 15.700,00044,Frascati,Lazio,Italy,https://www.hangarfrascati.com,,,,true,false,false,,,,Europe,,2026-06-14,,,
it-overest-ariccia,Overest Climbing Club,Overest Climbing Club,Via Quarto Negroni 24,00072,Ariccia,Lazio,Italy,https://overestclimbingclub.it,@overestclimbingclub,41.7116679,12.6300119,true,false,false,,,,Europe,,2026-06-14,,,
it-rockdreams-roma,Rock Dreams,Rock Dreams,Via di Pietralata 135,00158,Roma,Lazio,Italy,https://rockdreams.it,@rockdreamsroma,41.9274770,12.5365694,true,true,true,,,,Europe,,2026-06-14,,,
it-intellighenzia-padova,Intellighenzia Project,Intellighenzia Project,Corso Tre Venezie 20,35135,Padova,Veneto,Italy,https://intellighenziaproject.it,@intellighenzia_project,45.4223872,11.8708781,true,false,false,true,,true,Europe,,2026-06-14,,,
it-ecoleverticale-roma,École Verticale,École Verticale,Lungotevere Flaminio 67,00196,Roma,Lazio,Italy,https://www.ecoleverticale.it,,41.9281104,12.4611320,true,false,false,,,,Europe,,2026-06-14,,,
it-salewacube-bolzano,Salewa Cube,Salewa Cube,Via Waltraud-Gebert-Deeg 4,39100,Bolzano,Trentino-Alto Adige,Italy,https://www.salewa-cube.com,@salewa_cube,46.4707138,11.3141358,true,true,true,,true,,Europe,,2026-06-14,,,
it-sanbapolis-trento,SanbàPolis,SanbàPolis,Via della Malpensada 82/a,38123,Trento,Trentino-Alto Adige,Italy,https://www.sanbapolis.it,@sanbapolis,46.0479218,11.1346456,true,true,true,,,,Europe,,2026-06-14,,,
it-pareti-parma,Pareti Sport Center,Pareti Sport Center,Via Francesco Magani 14a,43100,Parma,Emilia-Romagna,Italy,https://paretisportcenter.com,@pareti.sport.center,44.8126435,10.2796472,true,true,true,,,,Europe,,2026-06-14,,,
it-metropolitan-perugia,Metropolitan Boulder,Metropolitan Boulder,Piazzale Umbria Jazz 1,06124,Perugia,Umbria,Italy,https://metropolitanboulder.it,@metropolitan.boulder,43.1089519,12.3601535,true,false,false,true,,,Europe,,2026-06-14,,,
it-savanzada-cagliari,S'Avanzada Climbing,S'Avanzada Climbing Cagliari,Largo Giuseppe Dessì,09124,Cagliari,Sardinia,Italy,https://savanzadaclimbing.it,@savanzadaclimbingcagliari,39.2231309,9.1178652,true,true,true,,,,Europe,,2026-06-14,,,
it-scalart-palermo,Scalart,Scalart,Via Sampolo 8,90139,Palermo,Sicily,Italy,https://www.scalart.it,@scalartpalermo,38.1349732,13.3570685,true,true,true,,,,Europe,,2026-06-14,,,
it-crazycenter-prato,Crazy Center,Crazy Center Prato,Via Bisenzio a San Martino 14,59100,Prato,Tuscany,Italy,https://www.crazycenter.it,@crazycenterprato,43.8950671,11.1031975,true,false,false,,,,Europe,,2026-06-14,,,
